measure,quantile,time,sex,age,ethnic,value
Lx,50%,2017-19,Male,1 years,European or Other,99648
px,2.50%,2017-19,Female,53 years,Pacific,0.99489
Lx,50%,2017-19,Male,62 years,Maori,79979
ex,97.50%,2017-19,Female,20 years,Maori,58.08
qx,50%,2017-19,Male,52 years,European or Other,0.00298
mx,97.50%,2017-19,Female,4 years,Asian,1.50E-04
qx,97.50%,2017-19,Female,88 years,Pacific,0.14691
mx,2.50%,2017-19,Male,34 years,nonMaori,6.90E-04
mx,50%,2017-19,Male,81 years,Total,0.05952
lx,2.50%,2017-19,Male,18 years,nonMaori,99187
qx,2.50%,2017-19,Female,33 years,European or Other,3.80E-04
qx,2.50%,2017-19,Male,30 years,Total,7.30E-04
mx,50%,2017-19,Male,78 years,Maori,0.06556
mx,97.50%,2017-19,Male,73 years,Total,0.02416
ex,2.50%,2017-19,Male,48 years,nonMaori,34.6
mx,50%,2017-19,Male,21 years,Total,7.60E-04
lx,97.50%,2017-19,Female,7 years,Total,99534
lx,97.50%,2017-19,Male,75 years,Maori,55806
mx,2.50%,2017-19,Female,17 years,Asian,9.00E-05
mx,2.50%,2017-19,Female,87 years,nonMaori,0.09187
ex,97.50%,2017-19,Male,67 years,nonMaori,18.06
ex,50%,2017-19,Male,88 years,Maori,4.45
qx,50%,2017-19,Female,90 years,Total,0.13389
ex,97.50%,2017-19,Male,36 years,Asian,50.33
qx,50%,2017-19,Female,54 years,Pacific,0.00447
lx,50%,2017-19,Female,56 years,European or Other,96615
dx,50%,2017-19,Male,71 years,Maori,2310
dx,97.50%,2017-19,Male,37 years,nonMaori,97
px,2.50%,2017-19,Male,47 years,nonMaori,0.99806
ex,2.50%,2017-19,Female,74 years,Asian,16.11
lx,97.50%,2017-19,Male,0 years,nonMaori,100000
mx,50%,2017-19,Female,58 years,Pacific,0.00626
dx,2.50%,2017-19,Female,12 years,Asian,7
Lx,97.50%,2017-19,Female,1 years,Total,99610
dx,2.50%,2017-19,Male,34 years,Total,86
Lx,97.50%,2017-19,Female,94 years,Pacific,10380
dx,2.50%,2017-19,Female,48 years,Asian,53
lx,97.50%,2017-19,Female,95 years,Maori,7945
ex,2.50%,2017-19,Male,43 years,Maori,32.89
mx,97.50%,2017-19,Male,40 years,nonMaori,0.0012
ex,2.50%,2017-19,Female,72 years,nonMaori,15.93
qx,97.50%,2017-19,Female,6 years,European or Other,8.00E-05
px,2.50%,2017-19,Male,93 years,Asian,0.80677
dx,97.50%,2017-19,Male,20 years,nonMaori,66
qx,50%,2017-19,Female,47 years,nonMaori,0.00119
ex,50%,2017-19,Female,6 years,Pacific,73.57
mx,97.50%,2017-19,Female,40 years,Total,8.60E-04
qx,97.50%,2017-19,Male,55 years,Total,0.00475
qx,97.50%,2017-19,Male,80 years,European or Other,0.05122
ex,2.50%,2017-19,Male,36 years,Asian,49.49
Lx,50%,2017-19,Female,33 years,European or Other,99033
mx,2.50%,2017-19,Male,98 years,Asian,0.20868
px,2.50%,2017-19,Female,62 years,Maori,0.98585
qx,50%,2017-19,Female,18 years,Pacific,2.70E-04
lx,97.50%,2017-19,Male,5 years,Maori,99378
Lx,50%,2017-19,Female,42 years,Total,98131
lx,97.50%,2017-19,Male,36 years,Asian,98966
dx,97.50%,2017-19,Female,70 years,European or Other,891
qx,97.50%,2017-19,Male,98 years,Pacific,0.43453
